  1.000000       10000.00      -0.000000       10000000      -0.000000
  2.000000       20000.00      -0.000000       20000000      -0.000000
  3.000000       30000.00      -0.000000       30000000      -0.000000
  4.000000       40000.00      -0.000000       40000000      -0.000000
  5.000000       50000.00      -0.000000       50000000      -0.000000
  6.000000       60000.00      -0.000000       60000000      -0.000000
  7.000000       70000.00      -0.000000       70000000      -0.000000
  8.000000       80000.00      -0.000000       80000000      -0.000000
  9.000000       90000.00      -0.000000       90000000      -0.000000
  10.00000       100000.0      -0.000000       10000000      -0.000000
